10001, John Smith, 1234567890, 123 Main St, Human Resources, Manager, Male, john.smith@example.com
10002, Jane Johnson, 2345678901, 456 Elm St, Marketing, Supervisor, Female, jane.johnson@example.com
10003, Mike Davis, 3456789012, 789 Oak St, Finance, Accountant, Male, mike.davis@example.com
10004, Emily Wilson, 4567890123, 321 Pine St, Customer Service, Representative, Female, emily.wilson@example.com
10005, David Thompson, 5678901234, 123 Main St, Sales, Sales Representative, Male, david.thompson@example.com
10006, Sarah Garcia, 6789012345, 456 Elm St, Human Resources, Human Resource Specialist, Female, sarah.garcia@example.com
10007, Chris Rodriguez, 7890123456, 789 Oak St, Software Engineering, Software Engineer, Male, chris.rodriguez@example.com
10008, Amy Martinez, 8901234567, 321 Pine St, Project Management, Project Manager, Female, amy.martinez@example.com
10009, John Smith, 9012345678, 123 Main St, Marketing, Marketing Coordinator, Male, john.smith@example.com
10010, Jane Johnson, 0123456789, 456 Elm St, Customer Service, Customer Service Representative, Female, jane.johnson@example.com
10011, Mike Davis, 1234567890, 789 Oak St, Operations, Supervisor, Male, mike.davis@example.com
10012, Emily Wilson, 2345678901, 321 Pine St, Administrations, Administrative Assistant, Female, emily.wilson@example.com
10013, David Thompson, 3456789012, 123 Main St, Legal Affairs, Legal Specialist, Male, david.thompson@example.com
10014, Sarah Garcia, 4567890123, 456 Elm St, Research and Development, Research Scientist, Female, sarah.garcia@example.com
10015, Chris Rodriguez, 5678901234, 789 Oak St, Human Resources, Manager, Male, chris.rodriguez@example.com
10016, Amy Martinez, 6789012345, 321 Pine St, Marketing, Marketing Specialist, Female, amy.martinez@example.com
10017, John Smith, 7890123456, 123 Main St, Finance, Financial Analyst, Male, john.smith@example.com
10018, Jane Johnson, 8901234567, 456 Elm St, Sales, Sales Manager, Female, jane.johnson@example.com
10019, Mike Davis, 9012345678, 789 Oak St, Operations, Supervisor, Male, mike.davis@example.com
10020, Emily Wilson, 0123456789, 321 Pine St, Customer Service, Customer Service Representative, Female, emily.wilson@example.com
10021, David Thompson, 1234567890, 123 Main St, Human Resources, Human Resource Specialist, Male, david.thompson@example.com
10022, Sarah Garcia, 2345678901, 456 Elm St, Software Engineering, Software Engineer, Female, sarah.garcia@example.com
10023, Chris Rodriguez, 3456789012, 789 Oak St, Project Management, Project Manager, Male, chris.rodriguez@example.com
10024, Amy Martinez, 4567890123, 321 Pine St, Marketing, Marketing Coordinator, Female, amy.martinez@example.com
10025, John Smith, 5678901234, 123 Main St, Customer Service, Customer Service Representative, Male, john.smith@example.com
10026, Jane Johnson, 6789012345, 456 Elm St, Operations, Supervisor, Female, jane.johnson@example.com
10027, Mike Davis, 7890123456, 789 Oak St, Administrations, Administrative Assistant, Male, mike.davis@example.com
10028, Emily Wilson, 8901234567, 321 Pine St, Legal Affairs, Legal Specialist, Female, emily.wilson@example.com
10029, David Thompson, 9012345678, 123 Main St, Research and Development, Research Scientist, Male, david.thompson@example.com
10030, Sarah Garcia, 0123456789, 456 Elm St, Human Resources, Manager, Female, sarah.garcia@example.com
10031, Chris Rodriguez, 1234567890, 789 Oak St, Marketing, Marketing Specialist, Male, chris.rodriguez@example.com
10032, Amy Martinez, 2345678901, 321 Pine St, Finance, Financial Analyst, Female, amy.martinez@example.com
10033, John Smith, 3456789012, 123 Main St, Sales, Sales Manager, Male, john.smith@example.com
10034, Jane Johnson, 4567890123, 456 Elm St, Operations, Supervisor, Female, jane.johnson@example.com
10035, Mike Davis, 5678901234, 789 Oak St, Customer Service, Customer Service Representative, Male, mike.davis@example.com
10036, Emily Wilson, 6789012345, 321 Pine St, Human Resources, Human Resource Specialist, Female, emily.wilson@example.com
10037, David Thompson, 7890123456, 123 Main St, Software Engineering, Software Engineer, Male, david.thompson@example.com
10038, Sarah Garcia, 8901234567, 456 Elm St, Project Management, Project Manager, Female, sarah.garcia@example.com
10039, Chris Rodriguez, 9012345678, 789 Oak St, Marketing, Marketing Coordinator, Male, chris.rodriguez@example.com
10040, Amy Martinez, 0123456789, 321 Pine St, Finance, Financial Analyst, Female, amy.martinez@example.com
10041, John Smith, 1234567890, 123 Main St, Sales, Sales Representative, Male, john.smith@example.com
10042, Jane Johnson, 2345678901, 456 Elm St, Administrations, Administrative Assistant, Female, jane.johnson@example.com
10043, Mike Davis, 3456789012, 789 Oak St, Legal Affairs, Legal Specialist, Male, mike.davis@example.com
10044, Emily Wilson, 4567890123, 321 Pine St, Research and Development, Research Scientist, Female, emily.wilson@example.com
10045, David Thompson, 5678901234, 123 Main St, Human Resources, Manager, Male, david.thompson@example.com
10046, Sarah Garcia, 6789012345, 456 Elm St, Marketing, Marketing Specialist, Female, sarah.garcia@example.com
10047, Chris Rodriguez, 7890123456, 789 Oak St, Operations, Supervisor, Male, chris.rodriguez@example.com
10048, Amy Martinez, 8901234567, 321 Pine St, Customer Service, Customer Service Representative, Female, amy.martinez@example.com
10049, John Smith, 9012345678, 123 Main St, Human Resources, Human Resource Specialist, Male, john.smith@example.com
10050, Jane Johnson, 0123456789, 456 Elm St, Software Engineering, Software Engineer, Female, jane.johnson@example.com
